,Tweets
108,@FirstMediaCares halo saya mau konfirmasi pemutusan layanan first media saya..ini harga kenapa jd naik jadi 500 rib… https://t.co/0Bkn6y4eLm
109,"RT @qiutikatie: Bismillah, first media untuk 2021. https://t.co/S6tnif8Qil"
110,digae wa an ae lemot first media iki😭
111,"RT @qiutikatie: Bismillah, first media untuk 2021. https://t.co/S6tnif8Qil"
112,"RT @qiutikatie: Bismillah, first media untuk 2021. https://t.co/S6tnif8Qil"
113,"RT @qiutikatie: Bismillah, first media untuk 2021. https://t.co/S6tnif8Qil"
114,"RT @qiutikatie: Bismillah, first media untuk 2021. https://t.co/S6tnif8Qil"
115,"RT @qiutikatie: Bismillah, first media untuk 2021. https://t.co/S6tnif8Qil"
116,"RT @qiutikatie: Bismillah, first media untuk 2021. https://t.co/S6tnif8Qil"
117,"@maulana31381730 Selamat Sore First People, Utk perihal tagihan kami sarankan utk menunggu tgl cetak tagihan Bapak… https://t.co/4l2S2GYwlc"
118,"@bagasirfan11.  Hi First People, terima kasih telah berlangganan First Media. Tks ^mtq"
119,RT @GuRuOffl: MR @jbismi14 Arasiyal vaathi maari maathi maathi pesama... Crt ha pesunga.. journalist neengale ippadi social media la oru ma…
120,"RT @qiutikatie: Bismillah, first media untuk 2021. https://t.co/S6tnif8Qil"
121,RT @GuRuOffl: MR @jbismi14 Arasiyal vaathi maari maathi maathi pesama... Crt ha pesunga.. journalist neengale ippadi social media la oru ma…
122,RT @GuRuOffl: MR @jbismi14 Arasiyal vaathi maari maathi maathi pesama... Crt ha pesunga.. journalist neengale ippadi social media la oru ma…
123,"Bismillah, first media untuk 2021. https://t.co/S6tnif8Qil"
124,RT @GuRuOffl: MR @jbismi14 Arasiyal vaathi maari maathi maathi pesama... Crt ha pesunga.. journalist neengale ippadi social media la oru ma…
125,"@cuteela26.  Hi First People, terima kasih telah berlangganan First Media. Tks ^mtq"
126,RT @GuRuOffl: MR @jbismi14 Arasiyal vaathi maari maathi maathi pesama... Crt ha pesunga.. journalist neengale ippadi social media la oru ma…
127,"@FirstMediaCares Sore min. Rencana mau berlangganan nih, mau tau apakah di lokasi rumah saya sdh tersedia layanan first media kah"
128,MR @jbismi14 Arasiyal vaathi maari maathi maathi pesama... Crt ha pesunga.. journalist neengale ippadi social media… https://t.co/jCn14gADZ8
129,"@FirstMediaCares coba tolong dong cek wifi saya kok tiba2 mati untuk daerah bogor, padahal tetangga aman-aman aja w… https://t.co/ej1l8UkUuT"
130,"@EffendiGustav Hi First People. Ditindaklanjuti permohonan menonaktifkn First Media X dan First Football tsb, akan… https://t.co/gxsglfCODr"
131,"@thetrvetyok Hi FIRST People, ada yang bisa kami bantu dan jika anda pelanggan First Media, Mohon info 8 digit Nomor pelanggan."
132,"RT @alvinna23: @ezash Belajar dari First Travel, Abu Tours, terakhir Akumobil tahun kemarin... Gak perlu bekingan sih sepertinya. Modus sam…"
133,First media lg kenapa ya
134,"@teeewaan.  Selamat Sore First People, mohon maaf atas ketidaknyamanan, kami cek layanan First Media di area Bapak/… https://t.co/lbkI4bNgmC"
135,@FirstMediaCares selamat sore min.sya mau tanya kalo ada bberapa remot channel tv yg tdk berfungsi itu ada penggant… https://t.co/jPa02pdy96
136,"@FirstMediaCares Ini bukan sekali dua kali loh min first media kaya gini, tolong lebih ditingkatin lagi kualitas ja… https://t.co/4u2kw4K65z"
137,"@randyrb23 Hi FIRST People, ada yang bisa kami bantu dan jika anda pelanggan First Media, Mohon info 8 digit Nomor pelanggan."
138,"@FirstMediaCares admin mau nanya. apakah first media menjangkau area jalan dr susilo, grogol petamburan, jakarta barat?"
139,"Guys, adakah yang pengguna First Media?"
140,"RT @Beritasatu: Hi guys! Untuk kamu yang lagi cari beasiswa, UPH bekerja sama dengan Berita Satu dan PT. Link Net, tbk (First Media)  bagi-…"
141,"Hi guys! Untuk kamu yang lagi cari beasiswa, UPH bekerja sama dengan Berita Satu dan PT. Link Net, tbk (First Media… https://t.co/GdwqBQZ7mb"
142,"@FirstMediaCares pada bulan desember first media saya sering mengalami problem, jika seperti itu apakah ada kompens… https://t.co/gvH7kVmCwE"
143,first media lu kenapa sih
144,"@uienich Selamat Siang First People, mhn maaf atas ketidaknyamanan ya. Saat ini area sdg mengalami perbaikan jaring… https://t.co/KYIMqBCA3j"
145,@adithafizh Selamat siang First People. Mengenai prosedur pemutusan berlangganan First Media selambat-lambatnya 14… https://t.co/xV4YlKvZdX
146,@fluffyeol1 Hi First People. Terima kasih telah berlangganan layanan First Media dan mohon maaf atas ketidaknyamana… https://t.co/RguJ9M6voS
147,"@bangparul Hi First People, baik terima kasih telah berlangganan First Media. Mhn maaf atas kendala sebelumnya. Tks ^nlv"
148,"@FirstMediaCares First media, hari ini offline lagi internet dan cable nya. Memang setiap hari offline ya. Smp brp… https://t.co/0PKVq2PKBr"
149,"first media sih gada obat anjg, status doang online tapi gabisa dipake"
150,@dubukiyowo first media malesin bgt 😩😩
151,FIRST MEDIA EROR MULU. GANTI JUGA DEH NIH
152,dikerjain first media setahun bgsd
153,"aku: hm kerjaan hari ini harus cepet beres
first media: haha tidak akan kubiarkan"
154,first media kenapa?
155,"@SH4TUP aku perati je , takhabis habis first media 😭😭😭"
156,"@FirstMediaCares 
Hi First Media.
Saya butuh informasi untuk pemasangan di daerah Surabaya Timur.
Bisa dibantu?"
157,"Kemarin First Media mati, hari ini Google mati. RIP productivity."
158,lah gmeet ngapa ga bisa????? first media lagi normal aje perasaan https://t.co/Wh2XuzHblB
159,"@FirstMediaCares oh saya cuma mau make sure aja, karena tadi ditelp dan saya “dipaksa” untuk berlangganan. Katanya… https://t.co/UWUla09tDS"
160,"Hallo mimin @FirstMediaCares mohon bantuanya pengecekan internet dengan nomor ID 11412240, hanya 2 lampu indikator… https://t.co/vcrvFmkDj6"
161,@Andre60008673 Hi First People. Pengajuan pemutusan dapat menghubungi ke layanan Call center kami di 1500 595(PTSN)… https://t.co/9iVQJEhr9X
162,First media lagi ada problem apa gmn dah wifi rumah gua lelet parah
163,"RT @alvinna23: @ezash Belajar dari First Travel, Abu Tours, terakhir Akumobil tahun kemarin... Gak perlu bekingan sih sepertinya. Modus sam…"
164,"first thing kalau lapar, kita up dulu kat sosial media"
165,"@putrise11 Hi First People, mhn maaf atas kendalanya tsb dan terima kasih tlh berlangganan First Media. Tks ^mel"
166,bisa2nya first media dirumah gue mati pas jam gue harus absen 😭😭😭😭😭😭
167,"@firdatriard MNC udh nanya juga? First media?
Tp first media rada pricey sih"
168,"@FirstMediaCares minn saya mau minta penghapusan first football dan first media X, soalnya ga kepakee
Bisa di bantu yah?"
169,Pesawat lewat aja first media langsung ngelag dahh
170,PT. Ponsel Jobs Indonesia (Mitra First Media Bali) membuka lowongan kerja sebagai Direct Sales untuk penempatan di… https://t.co/nw6hYoQllH
171,"@AdiSapu76880006 Selamat Siang First People, kami cek layanan First Media di area terindikasi gangguan jaringan dan… https://t.co/jwphjjoS8f"
172,"@FirstMediaCares siang min, kenapa ya awal saya join/pasang first media katanya 'flat' gaakan ada kenaikan harga. n… https://t.co/5LYr9Gw23A"
173,@SugiantoroDedy Hi First People. Ada yg bisa kami bantu atas layanan First Media Bpk ? Mhn info detai kendalanya terlebih dulu ya. Tks ^mel
174,"RT @alvinna23: @ezash Belajar dari First Travel, Abu Tours, terakhir Akumobil tahun kemarin... Gak perlu bekingan sih sepertinya. Modus sam…"
175,"RT @alvinna23: @ezash Belajar dari First Travel, Abu Tours, terakhir Akumobil tahun kemarin... Gak perlu bekingan sih sepertinya. Modus sam…"
176,"RT @alvinna23: @ezash Belajar dari First Travel, Abu Tours, terakhir Akumobil tahun kemarin... Gak perlu bekingan sih sepertinya. Modus sam…"
177,"RT @alvinna23: @ezash Belajar dari First Travel, Abu Tours, terakhir Akumobil tahun kemarin... Gak perlu bekingan sih sepertinya. Modus sam…"
178,@FirstMediaCares selamat siang first media mohon di bantu untuk id pelanggan berikut 11611355 wifi mati karna telat… https://t.co/299yZHnkxv
179,"@FirstMediaCares  Wifi tidak menandakan online padahal sedang WFH, Sering banget mati hidup.
Sampe Twitterku isinya… https://t.co/JOk0IRPvlV"
180,@saltyysaltt diruma w first media pesawat lewat aje ngelek
181,"@ezash Belajar dari First Travel, Abu Tours, terakhir Akumobil tahun kemarin... Gak perlu bekingan sih sepertinya.… https://t.co/OOeJbe9BYp"
182,@thypawsss kbl LAN Modem ke PC/Laptop dan Capture data my result dr https://t.co/gbesPqFKMl ke server First Media –… https://t.co/3spvCaGiBi
183,@aditya_gautama @FirstMediaCares First media emang lagi gangguan mas.
184,"@FirstMediaCares Selamat siang first media, internet saya mengalami gangguan selama sebulan ini. Tidak ada tindakan… https://t.co/ohp3DnqAcU"
185,@SugiantoroDedy Selamat Pagi First People. Ada yg bisa kami bantu atas layanan First Media Bpk/Ibu? Jika sdh berlan… https://t.co/shxExlVB3n
186,"@FirstMediaCares selamat pagi first media, saya mengalami gangguan jaringan internet ini sudah sebulan lebih intern… https://t.co/1j9ckmBbG2"
187,@Hendy29942395 Hi First People. Terima kasih telah berlangganan layanan First Media dan mohon maaf atas ketidaknyam… https://t.co/pKdeWXujwg
188,"Entah kenapa?, first media tiap kali pas hujan maupun habis hujan selalu gangguan jaringan, susah nih jadinya mau k… https://t.co/AMfFLfhZxP"
189,kenapa first media ga bisa buka ajaib dah who to blame
190,@tyo78766711 Kami sarankan Bpk Tyo utk membayarkan tagihan bulan Desember dahulu ya sesuai dgn tagihan Bpk. Informa… https://t.co/RCvIkDBHWe
191,REKKK SIAPA DISINII PAKE FIRST MEDIA
192,"yang pake first media , wifi kalian lagi down gasi"
193,first media ccd bgt dari kemaren//
194,"@FirstMediaCares selamat pagi, Kami sdh melakukn pmbyaran tagihan first media tanggal 05 Januari 2021. Dngan nomor… https://t.co/LPvJ2OYva2"
195,"@makanrujak1 Hi First People. Baik, terima kasih telah berlangganan First Media. ^ita"
196,@jabrot1234 Hi First People. Mhn maaf atas kendala sebelumnya. Terima kasih atas informasinya dan terima kasih tlh… https://t.co/qQQhlmSB1V
197,"@kiivox Hi FIRST People, ada yang bisa kami bantu dan jika anda pelanggan First Media, Mohon info 8 digit Nomor pelanggan."
198,"@yuhuworld Selamat pagi First People, mhn maaf atas ketidaknyamanannya. Modem tlh kami refresh. Mhn restart modem d… https://t.co/42BDtvlIbe"
199,@edwinaldrianto HI First People. Mohon menunggu kedatangan teknisi kami ya. Terima kasih sdh berlangganan First Med… https://t.co/OpzPlPIeqW
200,"2015 Gak Jamannya TV pake Antena, ayoo pasang FIRST MEDIA TV KABEL KUALITAS HD - info: FirstMediaMlg https://t.co/DivHR3Yffk"
201,@denny_nael Jika kurang dari 14 hari maka pemutusan akan kami lakukan di tanggal 15 bulan berikutnya. Untuk pemutus… https://t.co/GhPFjZvIhd
202,@BAD_ARSILA @CheDaniSayang Dia x pernah reveal x silap.first dia tayang rumah lepas dah kawen.tu pun media indonesi… https://t.co/Jwm1CJCnrs
203,"@FirstMediaCares Ticket ID : 10250976
Internet saya udah dari dulu begini pak, kalau first media lambat saya pasti… https://t.co/9cHqATdSvC"
204,@VinaAme11309440  Akan ada pengenaan pinalty RP300.000 jika sto langganan sebelum masa 12 bulan.  Untuk pemutusan b… https://t.co/H63SRe6sw8
205,first media ini masih pagi knp kamu lemot 😾😾
206,@ImranWahidPMLN @fawadchaudhry Phuda teri tai ka maru khooti k bachay jb imran khan kashmir k liyay utha tha tb ter… https://t.co/P5Jt9HdrKT
207,first media kenapa jam segini ngadet terus sih
208,"semua post first media 2021 , aku rasa kalau aku first media bulan 5 kot"
209,"Dari siang sampe jam segini loh, gila ya first media :)"
210,"@steffnoya Maaf kak, saya ngereply tweet.. soalnya cuma search keyword first media.

udah brp bulan pake first media kak?"
211,@IndiHome min bagusan biznet atau first media ? Atau saran gt wifi bagus Jawab dong aku lelah dengan diri mu :(
212,"@elahriberamat Hi FIRST People, ada yang bisa kami bantu dan jika anda pelanggan First Media, Mohon info 8 digit Nomor pelanggan."
213,First media jam segini bikin emosi
214,"@Muhammadaffa10 Hi FIRST People, ada yang bisa kami bantu dan jika anda pelanggan First Media, Mohon info 8 digit Nomor pelanggan."
215,demi allah first media tiap ujan kesamber gledek apa gmn sih:( atuhlah tar pagi gw ujian gmn😭
216,"Bisa gitu ya first media, pas ujan sinyalnya luntur"
217,Hujan dan kok wifi First Media ga mati ya? Hmm 🤔
218,"@aldrinoo Hi FIRST People, ada yang bisa kami bantu dan jika anda pelanggan First Media, Mohon info 8 digit Nomor pelanggan."
219,Ujan badai + pake first media. Kelar dah kelaaar.
220,@nugi1209 Hi First People. Terima kasih telah berlangganan layanan First Media dan mohon maaf atas ketidaknyamanan sebelumnya. Tks ^Fjr
221,"@nugi1209 Selamat Malam First People, utk penonaktifan paket First Media X akan kami proses sesuai tanggal cetak ta… https://t.co/wu4w3cebbv"
222,"@queerisy Untuk cek tagihan dpt akses https://t.co/h46Z2K7k7Z, dan detail tagihan dpt akses ke applikasi My First Media. Tks (2/2) ^myo"
223,@dipoalam49 @jpnncom First think 1st nya dia yg penting gebrakan diawal dipotretin diliput semua media smp ke goron… https://t.co/SMb7DxXqFk
224,"@biskichoff Untuk cek tagihan dpt akses https://t.co/h46Z2K7k7Z, dan detail tagihan dpt akses ke applikasi My First Media. Tks (2/2) ^myo"
225,@azkaamurfidi Hi First People. Terimakasih atas informasinya. Terimakasih telah berlangganan First Media. Tks ^ang
226,apaansi first media gue gabisa buka naver
227,"@FWBESS First, jurnalis apa ni? Media cetak apa tv? Apa radio? Ato apa?
Sec, WOYLA KALO JURNALIS DEEP VOICE SAMPE D… https://t.co/bOljRGRW3v"
228,"@Baehani_ Yes , first media pun ada gambar tu ."
229,"@roch51 Hi First People. Baik, terima kasih atas konfirmasinya dan terima kasih sudah menjadi pelanggan setia First Media. Tks ^Ajt"
230,"mo streaming anime, wifinya error daripagiii😭. njauk di antemi first media iki"
231,@uchsaburo Hi First People. Mohon maaf atas kendala yg dialami. Saat ini sedang terjadi kendala jaringan di area se… https://t.co/zJOpiClZgg
232,FIRST MEDIA LEMOT BANGET ANJIR
233,"@acitradelita Hi First People. Baik Pak/Bu, Terima kasih kembali telah berlangganan layanan First Media dan mohon m… https://t.co/fmYxtCR0tq"
234,@hendri__a First media emg bapuk skrg. Mnc play aja
235,"@IndrawanSatyadi Hi First People. Baik Pak/Bu, Terima kasih kembali telah berlangganan layanan First Media dan moho… https://t.co/6PRF4M0KjF"
236,Cape banget pake first media pengen ngomel mulu bawaannya
237,@FirstMediaCares Apakah First Media sekarang sama seperti Indihome? Karena IP wifi saya pakai untuk menyalurkan jar… https://t.co/VASaHcCkTa
238,"mau pasang wifi, first media kira2 bagus gaa??"
239,"@FirstMediaCares haloo first media saya dengan nomer pelanggan 11586158 sudah melakukan pembayaran, kapan di proses… https://t.co/Dj2NUXkwJ6"
240,First media kamu kenapa ih dari kemaren
241,"@zuu_haaa Hi FIRST People, ada yang bisa kami bantu dan jika anda pelanggan First Media, Mohon info 8 digit Nomor pelanggan."
242,@chminggo Hi First People. Mohon maaf atas kendala yg dialami. Saat ini sedang terjadi kendala jaringan di area sek… https://t.co/oMhiRmJQPM
243,"RT @FirstMediaCares: @synergya_  HI First People. Mohon maaf atas ketidaknyamannya. Terima kasih sdh berlangganan First Media, kami akan be…"
244,"@FirstMediaCares ,first media gangguan mulu yah,langganan baru mau 1 bulan,tgl 7 ini jatuh tempo pembyran,sdh 3 kal… https://t.co/E3DZ4AtgPp"
245,first media kalo malem ngajak berantem dh
246,"@Gryffin10421280 Hi First People. Baik untuk paket yg tersedia di First Media, silakan kunjungi website resmi kami… https://t.co/2S725wEQKj"
247,First media error terus nih. Coba DM nomer km deh buat ngetest..
